Authors,Title,Publication_year,Publication,Country,Latitude,Longitude,Site_name,n_sites,Sampling_period,Sampling_frequency,Elevation_masl,MATemp_C,MAPrecip_mm,MAEvap_mm,Climate_zone,Mean_width_m,Mean_water_depth_m,Mean_velocity_m_s-1,Mean_discharge_m3_s-1,Instream vegetation?,Land_use,Soil_type,Nutrient_status,Hydrological_regime,GHG_sampling_method,g_CO2_m-2_yr-1,CH4_diffusive_g_CH4_m-2_yr-1,CH4_ebullitive_g_CH4_m-2_yr-1,g_N2O_m-2_yr-1,Flux_conversion_notes,DO_mg_L-1,pH,EC_us_cm-1,DOC_mg_L-1,TP_mg_L-1,TN_mg_L-1,Nitrate_mg_L,Chl-a_mg_L-1,Secchi_depth_m,Notes
"Fang, XT; Wang, C; Xiao, SQ; Yu, K; Zhao, JT; Liu, SW; Zou, JW",Lower methane and nitrous oxide emissions from rice-aquaculture co-culture systems than from rice paddies in southeast China,2023,AGRICULTURAL AND FOREST METEOROLOGY,China,31.166667,119.766667,Ditched culture area,3,June 2019 - June 2021,Weekly,189,17.3,1103,NA,Subtropical monsoon,2,0.37,NA,NA,NA,Agriculture,Mineral,Eutrophic,Perennial,Chamber,NA,100.39,NA,0.18,"Converted from mg or ug * 1e-3 or 1e-6, respectively * 24h/d * 365 d/y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emailed the authors for water chemisty data which they collected but did not report. Soil is Gleyic Stagnic Anthrosol, considered mineral due to low C content (~1%)"
"Green, SM; Baird, AJ; Evans, CD; Peacock, M; Holden, J; Chapman, PJ; Smart, RP",Methane and carbon dioxide fluxes from open and blocked ditches in a blanket bog,2018,PLANT AND SOIL,Wales,52.97,-3.84,"Control vegetated, and control sphagnum ditches",2,March 2011 to March 2015,Every 3 to 6 weeks,500,8.6,2200,NA,Temperate,NA,0.6,NA,NA,Yes,Wetland,Organic (peat),Oligotrophic,Intermittently dry,Chamber,838.5,6.9,NA,NA,Annual emissions (via interpolation) reported by authors,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Climate data from Peacock et al 2013. Assumed oligotrophic due to the bog's reliance on precipitation inputs and no mention of fertilizer inputs--confirmed by Peacock et al 2016. Used data from control ditches (1 shpagnum dominated and 1 mis vegetation species), not dammed, ditches. "
"Gremmen, T; van Dijk, G; Postma, J; Colina, M; Domis, LND; Velthuis, M; van de Haterd, R; Kuipers, F; van Rossum, H; Smolders, AJP; Kosten, S",Factors influencing submerged macrophyte presence in fresh and brackish eutrophic waters and their impact on carbon emissions,2023,AQUATIC BOTANY,Netherlands,51.739041,4.13943,Exclosure from fish,6,May to August 2019,Monthly,0.5,10.9,875,NA,Temperate,5.5,1.1,NA,NA,Yes-macrophytes,Agriculture,Mineral (assumed),Eutrophic,Perennial (assumed),Chamber,2319.53,7.14,42.99,NA,Converted from mg m-2 d-1  * 1e-3 (mg to g) * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,0.62,Climate data from The Hague at climate-data.org
"Gremmen, T; van Dijk, G; Postma, J; Colina, M; Domis, LND; Velthuis, M; van de Haterd, R; Kuipers, F; van Rossum, H; Smolders, AJP; Kosten, S",Factors influencing submerged macrophyte presence in fresh and brackish eutrophic waters and their impact on carbon emissions,2023,AQUATIC BOTANY,Netherlands,51.739041,4.13943,Open to fish herbivory,6,May to August 2019,Monthly,0.5,10.9,875,NA,Temperate,5.5,1.1,NA,NA,No-macrophytes,Agriculture,Mineral (assumed),Eutrophic,Perennial (assumed),Chamber,3722.29,14.86,30.35,NA,Converted from mg m-2 d-1  * 1e-3 (mg to g) * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,0.62,Climate data from The Hague at climate-data.org
"Harrison, J; Matson, P",Patterns and controls of nitrous oxide emissions from waters draining a subtropical agricultural valley,2003,GLOBAL BIOGEOCHEMICAL CYCLES,Mexico,27.25,-110.05,Drainage canals,10,November 1999 to September 2001,Biweekly,10,22.5,287,NA,Dry (arid),6.3,1.02,0.321,0.0005,No,Agriculture,Mineral (assumed),Hypertrophic,Perennial ,Concentration (n=8) and chamber (n=2),NA,NA,NA,2.25,Converted from ng cm-2 h-1 * 44.01/28.01 (conversion factor from N2O-N to N2O) * 1e-9 ( ng to g) * 1e4 (cm2 to m2) * 24 h/d * 365d/y,NA,7.9,NA,5.9,NA,NA,3.05,0.13,NA,Widths estimated from Google Earth
"Hendriks, L; Weideveld, S; Fritz, C; Stepina, T; Aben, RCH; Fung, NE; Kosten, S",Drainage ditches are year-round greenhouse gas hotlines in temperate peat landscapes,2023,FRESHWATER BIOLOGY,Netherlands,53.087721,5.914717,Ditches,10,May 2017 to June 2018,Every 2 to 4 weeks,-2,10.5,826,NA,Temperate oceanic,3.07,0.37,NA,NA,Yes-submerged macrophytes and floating plants,Agriculture,Organic (peat),Eutrophic,Perennial (assumed),Chamber,3255.3,64.65,149.84,NA,Converted from mg m-2 d-1  * 1e-3 (mg to g) * 365 d/y,4.01,6.5,NA,NA,NA,NA,1.4,NA,NA,MAPrecip data from Groningen at .
"Hyvönen, NP; Huttunen, JT; Shurpali, NJ; Lind, SE; Marushchak, ME; Heitto, L; Martikainen, PJ",The role of drainage ditches in greenhouse gas emissions and surface leaching losses from a cutaway peatland cultivated with a perennial bioenergy crop,2013,BOREAL ENVIRONMENT RESEARCH,Finland,62.5,30.5,Drainage ditch - intermittently dry (d1),1,"Growing season of 2006, 2008, 2009",Once or twice per month,115,2.1,667,NA,Boreal,1.2,0.077,NA,0.00577,No-devoid of vegetation,Agriculture,Organic (peat),Hypertrophic,Intermittently dry ,Chamber,284.3,0.017,NA,0.0093,Annual emissions reported by authors,NA,NA,NA,NA,NA,1.46,NA,NA,NA,Permanent collar used at d1 
"Hyvönen, NP; Huttunen, JT; Shurpali, NJ; Lind, SE; Marushchak, ME; Heitto, L; Martikainen, PJ",The role of drainage ditches in greenhouse gas emissions and surface leaching losses from a cutaway peatland cultivated with a perennial bioenergy crop,2013,BOREAL ENVIRONMENT RESEARCH,Finland,62.5,30.5,Drainage ditch - flowing (d2),1,"Growing season of 2006, 2008, 2009",Once or twice per month,115,2.1,667,NA,Boreal,1.2,0.077,NA,0.00577,Yes-algal growth at d2,Agriculture,Organic (peat),Hypertrophic,Perennial,Chamber,652.67,1.32,NA,0.126,Annual emissions reported by authors,NA,NA,NA,NA,NA,1.46,NA,NA,NA,Floating chamber at d2 and d3
"Hyvönen, NP; Huttunen, JT; Shurpali, NJ; Lind, SE; Marushchak, ME; Heitto, L; Martikainen, PJ",The role of drainage ditches in greenhouse gas emissions and surface leaching losses from a cutaway peatland cultivated with a perennial bioenergy crop,2013,BOREAL ENVIRONMENT RESEARCH,Finland,62.5,30.5,Drainage ditch - flowing (d3),1,"Growing season of 2006, 2008, 2009",Once or twice per month,115,2.1,667,NA,Boreal,1.2,0.077,NA,0.00577,No-devoid of vegetation,Agriculture,Organic (peat),Hypertrophic,Perennial,Chamber,364.5,0.065,NA,0.0075,Annual emissions reported by authors,NA,NA,NA,NA,NA,1.46,NA,NA,NA,Floating chamber at d2 and d3
"Järveoja, J; Peichl, M; Maddison, M; Teemusk, A; Mander, Ü",Full carbon and greenhouse gas balances of fertilized and nonfertilized reed canary grass cultivations on an abandoned peat extraction area in a dry year,2016,GLOBAL CHANGE BIOLOGY BIOENERGY,Estonia,58.57223,24.3875,Drainage ditches ,3,June to December 2011,Monthly,115,6.3,746,NA,Temperate,1,NA,NA,NA,NA,Agriculture,Organic (peat),Mesotrophic,Intermittently dry,Chamber,1310.65,0.14,NA,0.035,Annual emissions reported by authors and converted from g C to g CO2 / CH4 * 44.01/12.01 (conversion factor for CO2) OR 16.04/12.01 (conversion factor for CH4. Converted from ug N2O-N m-2 h-1 * 1e-6 ug to g * 24 h/d * 365 d/y * 44.01/28.01 (conversion from N to N2O),NA,NA,NA,16.33,NA,NA,NA,NA,NA,Used permanent chamber (not floating) for ditch measurements. GHG fluxes not significantly different between treatments (therefore pooled). CH4 value confirmed from Peacock et al 2021 (considered mesotrophic)
"Macklin, PA; Maher, DT; Santos, IR",Estuarine canal estate waters: Hotspots of CO2 outgassing driven by enhanced groundwater discharge?,2014,MARINE CHEMISTRY,Australia,-28.025169,153.401779,Residential canals,3,"October 2012 (dry season), May 2013 (wet season)",Once per season,7,20.4,1294,NA,Subtropical,56.03,NA,NA,NA,NA,Urban,Mineral,NA,Perennial,Concentration,816.84,NA,NA,NA,Converted from mmol CO2 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g/mol CO2 * 365 d/yr,8.55,7.49,NA,NA,NA,NA,NA,NA,NA,"Requested 2012 water quality data from: https://www.goldcoast.qld.gov.au/Council-region/About-our-city/Environment-sustainability/Protecting-our-environment/Managing-our-waterways/Monitoring-our-waterways. None available for 2012.
Spatial surveys measuring pCO2 at 1min intervals. Canal widths from Google Earth. MAT data from climate-data.org for the Gold Coast. 27.8 ppt salinity."
"Manning, FC; Kho, LK; Hill, TC; Cornulier, T; Teh, YA",Carbon Emissions From Oil Palm Plantations on Peat Soil,2019,FRONTIERS IN FORESTS AND GLOBAL CHANGE,Malaysia,3.175,113.425,Field and collection drains,2,August 2016 to May 2017,6 campaigns,25,26.5,3200,NA,Tropical,2.5,0.25,NA,NA,NA,Agriculture,Organic (peat),Eutrophic,Intermittently dry,Chamber,4494.08,49.61,NA,NA,Converted from g CO2-C m-2 h-1 * 44.01/12.01 (conversion from CO2-C to CO2) * 24h/d * 365 d/y. Converted from mg CH4-C m-2 h-1 * 16.04/12.01 (conversion from CH4-C to CH4) * 1e-3 (mg to g) *24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coordinates are the midpoint between the two sites. Considered eutrophic by Peacock et al 2021. CH4 values slightly below the estimate reported in Peacock et al 2021--not sure why
"Matthews, RA; Chadwick, DR; Retter, AL; Blackwell, MSA; Yamulki, S",Nitrous oxide emissions from small-scale farmland features of UK livestock farming systems,2010,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,England,50.825556,-3.980556,Ditches,4,May 2005 to May 2007 and August to December 2007,3 to 4 campaigns per farm,120,10,1050,NA,Temperate,NA,NA,NA,NA,NA,Agriculture,Mineral,Eutrophic,Perennial (assumed),Chamber,NA,NA,NA,0.6,Converted from kg N2O ha-1 yr-1 * 1e3 (kg to g) * 1e-4 (ha to m2),NA,NA,NA,NA,NA,NA,NA,NA,NA,Emailed the authors for the water pH data. Coordinates are for 10km north of Dartmoor (nothing more specific provided)
"McPhillips, LE; Groffman, PM; Schneider, RL; Walter, MT",Nutrient Cycling in Grassed Roadside Ditches and Lawns in a Suburban Watershed,2016,JOURNAL OF ENVIRONMENTAL QUALITY,USA,42.477,-76.485,Roadside ditches - beside fertilized lawns,4,June 2014 to June 2015,Six campaigns,270,8.1,947,NA,Temperate,1.69,NA,NA,NA,Yes-grass,Urban,Mineral,Eutrophic,Intermittently dry,Chamber,3861.7,9.31,NA,0.0655,Converted from mg CO2-C m-2 h-1  * 1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) * 24 h/d * 365 d/y). Converted from ug N m-2 h-1 * 1e-6 (ug to g) * 44/28 (conversion factor from N2O-N to N2O) * 24 h/d * 365 d/y. Converted from ug CH4-C m-2 h-1 * 1e-6 (mg to g) * 16.04/12.01 conversion from C to CH4) * 24 h/d * 365 d/y,NA,NA,NA,19.05,NA,NA,0.6,NA,NA,Swale is another name for a roadside ditch. Land use in watershed is 40% urban and 44% forest. Water flowed only during and after storm events (except one ditch where flow was never observed). Ditch width from communication with author. Trophic status from Peacock et al 2021. CH4 values confirmed with Peacock et al 2021
"McPhillips, LE; Groffman, PM; Schneider, RL; Walter, MT",Nutrient Cycling in Grassed Roadside Ditches and Lawns in a Suburban Watershed,2016,JOURNAL OF ENVIRONMENTAL QUALITY,USA,42.477,-76.485,Roadside ditches - beside unfertilized lawns,4,June 2014 to June 2015,Six campaigns,270,8.1,947,NA,Temperate,1.69,NA,NA,NA,Yes-grass,Urban,Mineral,Mesotrophic,Intermittently dry,Chamber,2443.49,5.33,NA,0.0158,Converted from mg CO2-C m-2 h-1  * 1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) * 24 h/d * 365 d/y). Converted from ug N m-2 h-1 * 1e-6 (ug to g) * 44/28 (conversion factor from N2O-N to N2O) * 24 h/d * 365 d/y. Converted from ug CH4-C m-2 h-1 * 1e-6 (mg to g) * 16.04/12.01 conversion from C to CH4) * 24 h/d * 365 d/y,NA,NA,NA,14.95,NA,NA,0.33,NA,NA,Swale is another name for a roadside ditch. Land use in watershed is 40% urban and 44% forest. Water flowed only during and after storm events (except one ditch where flow was never observed). Emailed the author for ditch width. Trophic status from Peacock et al 2021. CH4 values confirmed with Peacock et al 2021
"Otani, S; Yamanaka, R; Kozuki, Y; Fujishima, K; Hirata, M","Spatial and temporal distribution of carbon dioxide flux in Amagasaki Canal, Japan",2021,COASTAL ENGINEERING JOURNAL,Japan,34.708064,135.392852,Amagasaki Canal,1,June 2018 to June 2020,Every 1 to 2 months,0,15.8,1475,NA,Subtropical,25,2.67,0.01,NA,Yes-phytoplankton,Urban,Mineral (assumed),Hypertrophic,Perennial,Concentration,0.17,NA,NA,NA,Converted from mmol C m-2 yr-1 * 1e-3 (mmol to mol) * 12.01 (mol to g C) * 44.01/12.01 conversion factor C to CO2 ,10.58,8.02,NA,NA,0.11,2.27,NA,0.01862,NA,Salinity ~12psu. Seawater exchange is limited due to locks and gates. Climate data from Osaka at climate-data.org
"Palmia, B; Leonardi, S; Viaroli, P; Bartoli, M",Regulation of CO2 fluxes along gradients of water saturation in irrigation canal sediments,2021,AQUATIC SCIENCES,Italy,45,10.366667,Canal - dry,5,October 2019,Once,30,13.7,888,NA,Temperate,17,,NA,NA,Yes,Agriculture,Mineral (assumed),Eutrophic,Intermittently dry,Chamber,4654.43,NA,NA,NA,Converted from mmol CO2 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g/mol CO2 * 365 d/yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mean width from Google Earth
"Palmia, B; Leonardi, S; Viaroli, P; Bartoli, M",Regulation of CO2 fluxes along gradients of water saturation in irrigation canal sediments,2021,AQUATIC SCIENCES,Italy,45,10.366667,Canal - inundated,5,October 2019,Once,30,13.7,888,NA,Temperate,17,,NA,NA,NA,Agriculture,Mineral (assumed),Eutrophic,Perennial,Chamber,1932.03,NA,NA,NA,Converted from mmol CO2 m-2 d-1 * 1e-3 (mmol to mol) * 44.01 g/mol CO2 * 365 d/yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mean width from Google Earth
"Peacock, M; Audet, J; Bastviken, D; Cook, S; Evans, CD; Grinham, A; Holgerson, MA; Högbom, L; Pickard, AE; Zielinski, P; Futter, MN",Small artificial waterbodies are widespread and persistent emitters of methane and carbon dioxide,2021,GLOBAL CHANGE BIOLOGY,Sweden,60.178,17.595,Intensive ditch survey,2,April to December 2018,Every 2 to 5 weeks (11 campaigns),22.5,8,510,NA,Hemiboreal,2.75,0.41,minimal/absent,NA,NA,Agriculture,Mineral (clay),Hypertrophic,Perennial,Chamber,1259.3,29.15,55,NA,Annual emissions reported by authors. Ebullition converted from mg CH4 m-2 d-1 * 1e-3 mg to g * 214 ice-free days,6.3,7.58,639.91,15.17,0.779,NA,NA,NA,NA,Temperature data is for 2018 (not historic). Water flow rates were minimal/absent. CH4 ebullition is an average from 10 sites
"Peacock, M; Audet, J; Bastviken, D; Cook, S; Evans, CD; Grinham, A; Holgerson, MA; Högbom, L; Pickard, AE; Zielinski, P; Futter, MN",Small artificial waterbodies are widespread and persistent emitters of methane and carbon dioxide,2021,GLOBAL CHANGE BIOLOGY,Sweden,60.265,17.617,Intensive ditch survey,1,April to December 2018,Every 2 to 5 weeks (11 campaigns),22.5,8,510,NA,Hemiboreal,1.6,0.043,minimal/absent,NA,NA,Forest (logged),Organic (peat),Hypertrophic,Intermittently dry,Chamber,1658,0.1,55,NA,Annual emissions reported by authors. Ebullition converted from mg CH4 m-2 d-1 * 1e-3 mg to g * 214 ice-free days,5.2,7.11,450.89,53.95,0.268,NA,NA,NA,NA,Temperature data is for 2018 (not historic). Water flow rates were minimal/absent. CH4 ebullition is an average from 10 sites
